Kraj,Ostatnich 28 dni Kliknięcia,Poprzednich 28 dni Kliknięcia,Ostatnich 28 dni Wyświetlenia,Poprzednich 28 dni Wyświetlenia,Ostatnich 28 dni CTR,Poprzednich 28 dni CTR,Ostatnich 28 dni Pozycja,Poprzednich 28 dni Pozycja
Stany Zjednoczone,0,0,21,8,0%,0%,27.9,22.75
Ghana,0,0,2,0,0%,0%,5,0
Gwatemala,0,0,1,0,0%,0%,4,0
Wielka Brytania,0,0,0,2,0%,0%,0,26
Japonia,0,0,0,1,0%,0%,0,2
Finlandia,0,0,0,1,0%,0%,0,8
