Kraj,Kliknięcia,Wyświetlenia,CTR,Pozycja
Brazylia,3,206,1.46%,8.75
Japonia,1,44,2.27%,10.82
Australia,1,15,6.67%,11.2
Stany Zjednoczone,0,286,0%,20.05
Wielka Brytania,0,170,0%,44.69
Niemcy,0,79,0%,9.14
Francja,0,58,0%,8.6
Polska,0,39,0%,8.95
Kanada,0,36,0%,8.97
Hiszpania,0,33,0%,9.76
Meksyk,0,14,0%,10.64
Filipiny,0,12,0%,8.58
Austria,0,10,0%,8.9
Nowa Zelandia,0,8,0%,10.25
Szwecja,0,6,0%,7.33
Belgia,0,6,0%,8.5
Korea Południowa,0,6,0%,9.17
Indie,0,6,0%,10.17
Włochy,0,5,0%,5.6
Malezja,0,4,0%,5.5
Irlandia,0,4,0%,6.5
Maroko,0,4,0%,6.75
Portugalia,0,4,0%,7
Holandia,0,3,0%,4.67
Republika Południowej Afryki,0,3,0%,7
Nigeria,0,3,0%,7.67
Kolumbia,0,3,0%,8.33
Chile,0,3,0%,9.33
Wenezuela,0,3,0%,10
Norwegia,0,3,0%,16.67
Argentyna,0,2,0%,3
Tajlandia,0,2,0%,3.5
Czechy,0,2,0%,4
Egipt,0,2,0%,5
Kirgistan,0,2,0%,5.5
Wietnam,0,2,0%,6
Indonezja,0,2,0%,6.5
Rumunia,0,2,0%,6.5
Gwadelupa,0,2,0%,9
Mozambik,0,2,0%,9
Szwajcaria,0,2,0%,9.5
Kosowo,0,2,0%,10
Uganda,0,1,0%,1
Sierra Leone,0,1,0%,3
Malta,0,1,0%,5
Ruanda,0,1,0%,5
Tunezja,0,1,0%,5
Grecja,0,1,0%,6
Liberia,0,1,0%,6
Portoryko,0,1,0%,6
Zjednoczone Emiraty Arabskie,0,1,0%,7
Angola,0,1,0%,8
Madagaskar,0,1,0%,8
Pakistan,0,1,0%,8
Paragwaj,0,1,0%,8
Peru,0,1,0%,9
Ekwador,0,1,0%,10
Fidżi,0,1,0%,10
Izrael,0,1,0%,10
Jamajka,0,1,0%,10
Mołdawia,0,1,0%,10
Reunion,0,1,0%,10
Komory,0,1,0%,11
Kuba,0,1,0%,11
Sudan,0,1,0%,11
Salwador,0,1,0%,11
Białoruś,0,1,0%,23
Malediwy,0,1,0%,28
