Kraj,Kliknięcia,Wyświetlenia,CTR,Pozycja
Brazylia,1,36,2.78%,21.86
Austria,1,3,33.33%,6.33
Stany Zjednoczone,0,849,0%,43.52
Wielka Brytania,0,153,0%,46.07
Indie,0,95,0%,50.29
Kanada,0,84,0%,44.21
Filipiny,0,69,0%,46.87
Hiszpania,0,56,0%,32.48
Turcja,0,53,0%,50.79
Indonezja,0,49,0%,46.65
Tajlandia,0,46,0%,44.72
Francja,0,40,0%,41.33
Wietnam,0,36,0%,46.42
Australia,0,34,0%,42.26
Meksyk,0,27,0%,47.78
Malezja,0,25,0%,55.32
Niemcy,0,21,0%,34.48
Rosja,0,21,0%,41.33
Holandia,0,20,0%,36
Bangladesz,0,20,0%,58.05
Arabia Saudyjska,0,17,0%,38.59
Maroko,0,16,0%,49.25
Ukraina,0,15,0%,33.07
Japonia,0,14,0%,28.29
Polska,0,9,0%,19.56
Algieria,0,9,0%,59
Włochy,0,6,0%,29.83
Jordania,0,6,0%,42.5
Zjednoczone Emiraty Arabskie,0,6,0%,43.83
Nowa Zelandia,0,5,0%,12
Izrael,0,5,0%,23
Korea Południowa,0,4,0%,7.75
Szwecja,0,4,0%,22.5
Pakistan,0,4,0%,40.25
Norwegia,0,4,0%,47.25
Dania,0,3,0%,11.33
Argentyna,0,3,0%,13
Hongkong,0,3,0%,15
Angola,0,3,0%,17.33
Portugalia,0,3,0%,30.67
Egipt,0,3,0%,65.33
Rumunia,0,2,0%,15.5
Belgia,0,2,0%,21
Grecja,0,2,0%,22.5
Szwajcaria,0,2,0%,23
Irlandia,0,2,0%,41.5
Republika Południowej Afryki,0,2,0%,42.5
Chile,0,1,0%,5
Chiny,0,1,0%,6
Guam,0,1,0%,8
Wyspa Jersey,0,1,0%,8
Oman,0,1,0%,8
Malta,0,1,0%,9
Ekwador,0,1,0%,11
Kolumbia,0,1,0%,15
Sri Lanka,0,1,0%,33
Irak,0,1,0%,45
Senegal,0,1,0%,49
