Urządzenie,Ostatnich 28 dni Kliknięcia,Poprzednich 28 dni Kliknięcia,Ostatnich 28 dni Wyświetlenia,Poprzednich 28 dni Wyświetlenia,Ostatnich 28 dni CTR,Poprzednich 28 dni CTR,Ostatnich 28 dni Pozycja,Poprzednich 28 dni Pozycja
Wersja na komputery,0,0,509,579,0%,0%,36.51,33.33
Urządzenie mobilne,0,0,128,155,0%,0%,32.5,29.61
Tablet,0,0,8,0,0%,0%,28.75,0
