Urządzenie,Ostatnich 28 dni Kliknięcia,Poprzednich 28 dni Kliknięcia,Ostatnich 28 dni Wyświetlenia,Poprzednich 28 dni Wyświetlenia,Ostatnich 28 dni CTR,Poprzednich 28 dni CTR,Ostatnich 28 dni Pozycja,Poprzednich 28 dni Pozycja
Urządzenie mobilne,2,0,13,32,15.38%,0%,20.38,17.44
Wersja na komputery,0,0,54,69,0%,0%,22.61,19.2
