Urządzenie,Kliknięcia,Wyświetlenia,CTR,Pozycja
Urządzenie mobilne,29,12547,0.23%,14.62
Wersja na komputery,9,13073,0.07%,37.07
Tablet,2,85,2.35%,14.55
