Urządzenie,Ostatnich 28 dni Kliknięcia,Poprzednich 28 dni Kliknięcia,Ostatnich 28 dni Wyświetlenia,Poprzednich 28 dni Wyświetlenia,Ostatnich 28 dni CTR,Poprzednich 28 dni CTR,Ostatnich 28 dni Pozycja,Poprzednich 28 dni Pozycja
Wersja na komputery,0,0,305,93,0%,0%,27.69,27.19
Urządzenie mobilne,0,0,115,26,0%,0%,26.28,26.15
Tablet,0,0,6,0,0%,0%,27.5,0
